zone,scope,hours,consumption_twh,ci_lifecycle_consumption_weighted,ci_lifecycle_time_average,excluded_share_lifecycle_pct,cfe_consumption_weighted_pct,cfe_time_average_pct,cfe_hours_ge_99pct,cfe_min_hour_pct,cfe_p05_pct,share_hydro_pumped_storage_pct,share_biomass_pct,share_other_renewable_pct
NO1,primary,8760,34.1991,23.125,22.9863,0.8121,97.8521,98.0348,16.7237,91.0669,96.2513,1.1744,0.0301,0.049
NO2,primary,8760,37.228,26.2577,26.3982,0.9712,96.0427,96.0092,16.6096,75.8422,89.9652,2.2207,0.2245,0.0122
NO3,primary,8760,28.6504,24.2007,24.1992,0.8069,97.9647,97.9756,8.8356,95.382,96.8683,0.6556,0.0052,0.6995
NO4,primary,8760,19.7585,39.666,38.9458,1.3431,94.9683,95.0794,0.0,89.0011,91.9794,0.0002,0.0244,1.3156
NO5,primary,8760,17.3023,24.3903,24.3703,0.4074,97.0572,97.2419,25.7192,90.2304,93.3452,2.4032,0.0026,0.0511
SE1,primary,8760,11.0982,21.4011,21.4854,0.5504,99.1675,99.166,79.8174,93.0892,97.563,0.0001,0.155,0.0613
SE2,primary,8760,14.4415,20.6109,20.6141,0.9997,98.8942,98.877,39.1324,96.2301,97.9663,0.0122,0.0336,0.0321
SE3,primary,8760,80.2556,17.7426,17.7474,3.598,96.1793,96.3711,0.0571,90.2359,93.6151,0.0332,0.1093,0.016
SE4,primary,8760,20.4583,23.5203,24.1529,6.548,92.3232,92.6089,0.0,56.5695,81.9818,0.0684,0.3029,0.0186
FI,control,8760,84.8779,44.9346,44.2899,4.1681,85.0508,85.3439,0.0,63.6147,74.6331,0.0019,9.3405,0.2668
DK1,control,8760,25.813,83.1388,83.912,4.5579,80.6246,80.4284,0.0,33.5219,59.2143,0.6046,6.1641,0.0414
DK2,control,8760,15.3936,102.2757,99.7587,8.2243,71.4471,72.1307,0.0,19.0816,50.7324,0.1638,12.8363,0.0166
