datetime_utc,consumption_mw,ci_lifecycle_gco2eq_per_kwh,included_share_lifecycle,carbon_free_share,share_hydro_pumped_storage,share_biomass,share_other_renewable
2025-01-01 00:00:00+00:00,3111.48,31.48463517,0.97991193,0.94252731,0.00024937,0.00715852,0.00026446
2025-01-01 01:00:00+00:00,3113.99,24.92932803,0.98704879,0.96377065,3.5e-07,0.00194943,0.0001354
2025-01-01 02:00:00+00:00,3101.5275,27.91030707,0.96893361,0.94076116,2.308e-05,0.00179427,0.00013754
2025-01-01 03:00:00+00:00,3029.85,26.2560165,0.98065482,0.95497459,2.946e-05,0.00141284,0.0001331
2025-01-01 04:00:00+00:00,3062.4475,30.17672564,0.96643108,0.93238583,0.0,0.00255337,0.00010922
2025-01-01 05:00:00+00:00,3033.355,30.23329819,0.9640763,0.93004321,1.6e-07,0.00260598,0.00010425
2025-01-01 06:00:00+00:00,3067.44,36.95225635,0.97907385,0.92850012,0.0002254,0.01075742,0.00033336
2025-01-01 07:00:00+00:00,3169.5325,27.72318748,0.98458446,0.95570859,3.671e-05,0.00422948,0.00019191
2025-01-01 08:00:00+00:00,3121.355,35.13969661,0.98120235,0.92592963,5.894e-05,0.02735729,0.00025319
2025-01-01 09:00:00+00:00,3352.5,47.15393522,0.97038654,0.88923636,0.00010351,0.03987963,0.00047993
2025-01-01 10:00:00+00:00,3320.2225,52.06576761,0.96748057,0.87621502,0.00024769,0.04549665,0.00054226
2025-01-01 11:00:00+00:00,3361.825,52.6823012,0.96747093,0.8742803,0.00024201,0.04811635,0.00050941
2025-01-01 12:00:00+00:00,3388.75,50.27312576,0.96871459,0.88075017,0.00066058,0.0443003,0.00048859
2025-01-01 13:00:00+00:00,3373.7975,49.75857632,0.9677552,0.88000518,0.00043586,0.04398632,0.00055642
2025-01-01 14:00:00+00:00,3475.455,49.69387807,0.96800713,0.8785428,0.00048402,0.04368762,0.00057286
2025-01-01 15:00:00+00:00,3282.185,52.80389015,0.96647041,0.86453838,0.00226156,0.05166127,0.00060435
2025-01-01 16:00:00+00:00,3477.6925,57.63198942,0.96590265,0.85691431,0.00210088,0.05259508,0.00061271
2025-01-01 17:00:00+00:00,3343.39,56.81125628,0.9657883,0.85941105,0.00269164,0.05092989,0.00059364
2025-01-01 18:00:00+00:00,3150.91,61.10324938,0.96293947,0.84679246,0.00253008,0.05638851,0.00063931
2025-01-01 19:00:00+00:00,3212.7975,65.6310716,0.96068306,0.83729908,0.00248491,0.05814694,0.00069442
2025-01-01 20:00:00+00:00,3011.96,68.02573172,0.95912661,0.8303533,0.00339827,0.06055796,0.0007039
2025-01-01 21:00:00+00:00,2914.1225,66.85656894,0.95997528,0.8343735,0.0031394,0.0593432,0.00065933
2025-01-01 22:00:00+00:00,2887.05,68.20018287,0.95893214,0.83233776,0.00288917,0.05833491,0.00069347
2025-01-01 23:00:00+00:00,3146.7675,70.49994584,0.95380311,0.82578176,0.0045821,0.05342625,0.00076005
2025-01-02 00:00:00+00:00,3153.685,68.43505133,0.95097765,0.82651084,0.00310734,0.05462661,0.00077516
2025-01-02 01:00:00+00:00,3040.005,61.06002414,0.95287363,0.84168915,0.0027327,0.04979242,0.00074877
2025-01-02 02:00:00+00:00,2974.9725,64.48646502,0.94965395,0.83129507,0.00314023,0.05075514,0.00082554
2025-01-02 03:00:00+00:00,2890.425,78.62816814,0.94175124,0.7955523,0.00116274,0.06467417,0.00087336
2025-01-02 04:00:00+00:00,2713.1425,76.50382458,0.95373439,0.80107087,0.00078829,0.08015723,0.00056435
2025-01-02 05:00:00+00:00,2672.41,80.54995046,0.95407375,0.78720324,0.00379062,0.08751354,0.00045906
2025-01-02 06:00:00+00:00,2755.57,108.20054913,0.94874782,0.73056478,0.00403396,0.09273187,0.00054607
2025-01-02 07:00:00+00:00,2958.04,112.05718657,0.94626705,0.71836935,0.00993232,0.09286546,0.00053179
2025-01-02 08:00:00+00:00,3010.68,96.2832601,0.96200048,0.75870137,0.01484611,0.08654062,0.0003745
2025-01-02 09:00:00+00:00,3136.0,90.04836272,0.96186686,0.77700717,0.01693731,0.07153172,0.00037902
2025-01-02 10:00:00+00:00,3161.05,77.46740017,0.97368814,0.81575575,0.01510398,0.06604803,0.00027335
2025-01-02 11:00:00+00:00,3122.56,68.69231779,0.9807104,0.83903644,0.01398333,0.06380296,0.00020575
2025-01-02 12:00:00+00:00,3101.06,65.77548422,0.98144969,0.84425117,0.01154489,0.06303276,0.00019438
2025-01-02 13:00:00+00:00,2990.06,64.90030267,0.98292471,0.8441012,0.01138227,0.06426665,0.00020098
2025-01-02 14:00:00+00:00,3052.345,66.04257683,0.98323932,0.83965845,0.01291994,0.0635874,0.00021914
2025-01-02 15:00:00+00:00,3189.825,91.81245884,0.9681317,0.78294275,0.01275003,0.05941601,0.00021999
2025-01-02 16:00:00+00:00,3345.1375,78.17578408,0.97489076,0.81409627,0.01177418,0.05974837,0.00022041
2025-01-02 17:00:00+00:00,3250.05,67.22114528,0.98513989,0.83923929,0.01296526,0.06332572,0.00023484
2025-01-02 18:00:00+00:00,3068.51,71.19723585,0.98052458,0.82786456,0.01111384,0.06810059,0.00025905
2025-01-02 19:00:00+00:00,2964.16,81.88821178,0.97961196,0.81102356,0.01069602,0.07162706,0.0002344
2025-01-02 20:00:00+00:00,2892.23,81.06576134,0.97910881,0.81147928,0.0112095,0.08164783,0.00020394
2025-01-02 21:00:00+00:00,2941.66,84.20341779,0.97819193,0.80880437,0.01408569,0.07995475,0.00021222
2025-01-02 22:00:00+00:00,2838.81,86.84084634,0.97651315,0.80653473,0.01479047,0.07574778,0.00023018
2025-01-02 23:00:00+00:00,2893.17,73.31986613,0.98158269,0.83769018,0.01295251,0.06698301,0.0001902
2025-01-03 00:00:00+00:00,3045.78,58.79535874,0.98463645,0.86838131,0.01256723,0.05427992,0.00017352
2025-01-03 01:00:00+00:00,3265.69,57.86959917,0.98766943,0.87070227,0.0117764,0.05657373,0.000153
2025-01-03 02:00:00+00:00,3313.96,56.15423504,0.98817593,0.8751216,0.00775729,0.05845035,0.00014073
2025-01-03 03:00:00+00:00,3230.86,55.85305989,0.98753836,0.8756831,0.00363255,0.06183912,0.00013996
2025-01-03 04:00:00+00:00,3032.5,57.28536621,0.98615363,0.87122477,0.00232175,0.06480106,0.0001491
2025-01-03 05:00:00+00:00,3143.2,59.90998211,0.98551102,0.86730773,0.0021817,0.06216129,0.00016624
2025-01-03 06:00:00+00:00,3282.63,55.43631576,0.98470964,0.88001187,0.00262947,0.05121256,0.00018549
2025-01-03 07:00:00+00:00,3445.46,55.03780231,0.98300947,0.87827393,0.0049517,0.0507737,0.00018727
2025-01-03 08:00:00+00:00,3415.03,51.76137115,0.98458549,0.88504003,0.00515526,0.05065511,0.00016505
2025-01-03 09:00:00+00:00,3382.99,49.59346528,0.98679216,0.88489841,0.00736063,0.05321188,0.00018226
2025-01-03 10:00:00+00:00,3592.28,43.98462125,0.98828412,0.8998614,0.00954597,0.0466738,0.00014007
2025-01-03 11:00:00+00:00,3708.51,42.61385597,0.98776822,0.90522106,0.00752198,0.04471589,0.00013296
2025-01-03 12:00:00+00:00,3634.74,44.09444046,0.98827965,0.90318538,0.00673374,0.04568981,0.00014379
2025-01-03 13:00:00+00:00,3720.93,49.5715796,0.98865674,0.89727036,0.00867614,0.04277193,0.00014073
2025-01-03 14:00:00+00:00,3442.07,54.92343873,0.98822289,0.88596718,0.01030887,0.04423317,0.00017952
2025-01-03 15:00:00+00:00,3159.99,65.5130914,0.98375897,0.86104074,0.00629925,0.05142313,0.00022607
2025-01-03 16:00:00+00:00,3430.28,76.70660015,0.98235231,0.83598616,0.0126022,0.05349344,0.00025123
2025-01-03 17:00:00+00:00,3269.74,93.17127985,0.97876673,0.80728361,0.01390901,0.05569662,0.00029246
2025-01-03 18:00:00+00:00,3050.42,106.72322862,0.97546242,0.78072928,0.01224313,0.06358207,0.00034814
2025-01-03 19:00:00+00:00,2953.6,92.3858862,0.97325974,0.79734869,0.00875141,0.06880761,0.00030077
2025-01-03 20:00:00+00:00,2986.06,88.23413202,0.97078639,0.79731076,0.00704365,0.07296154,0.0002885
2025-01-03 21:00:00+00:00,2971.91,92.27811627,0.95889018,0.77242763,0.00830774,0.08150174,0.00040594
2025-01-03 22:00:00+00:00,2748.86,96.66989389,0.95729627,0.76087275,0.01447802,0.08120447,0.0004138
2025-01-03 23:00:00+00:00,2697.47,94.61227049,0.9498687,0.75193545,0.01688225,0.08414945,0.00049859
2025-01-04 00:00:00+00:00,2661.12,100.28482064,0.9511904,0.74189852,0.01797896,0.08595497,0.00052974
2025-01-04 01:00:00+00:00,2624.56,95.74250353,0.94958653,0.74624278,0.01982129,0.08747846,0.00043651
2025-01-04 02:00:00+00:00,2509.22,100.26561317,0.96120594,0.7606844,0.02155501,0.07535322,0.00035788
2025-01-04 03:00:00+00:00,2420.02,100.4968333,0.97353295,0.7732792,0.02234129,0.07167796,0.00028547
2025-01-04 04:00:00+00:00,2404.15,101.82398045,0.97386295,0.77306486,0.02182875,0.07085067,0.00029039
2025-01-04 05:00:00+00:00,2419.34,98.09866721,0.97587672,0.78429061,0.01868643,0.06929707,0.00028758
2025-01-04 06:00:00+00:00,2512.18,108.57936137,0.97470109,0.77132678,0.017789,0.06509399,0.00029199
2025-01-04 07:00:00+00:00,2644.73,117.63483997,0.97429512,0.76139815,0.01632885,0.06511037,0.00030315
2025-01-04 08:00:00+00:00,2721.2,121.17471478,0.9741934,0.75457537,0.01642009,0.06686625,0.00032099
2025-01-04 09:00:00+00:00,2811.6,121.72226218,0.97350097,0.7543094,0.01566196,0.06738858,0.00031832
2025-01-04 10:00:00+00:00,2829.02,116.79755232,0.97401366,0.76258948,0.0142364,0.06887678,0.00028005
2025-01-04 11:00:00+00:00,2762.3,116.80935879,0.97387146,0.76380884,0.01616537,0.065528,0.00031003
2025-01-04 12:00:00+00:00,2770.3225,116.71692117,0.97339358,0.76324618,0.01570014,0.06710253,0.00029891
2025-01-04 13:00:00+00:00,2725.43,122.25828674,0.97263699,0.75066715,0.01567447,0.07122418,0.00037275
2025-01-04 14:00:00+00:00,2772.6275,137.41152351,0.96462012,0.71962723,0.01372421,0.07201857,0.00058827
2025-01-04 15:00:00+00:00,2904.625,163.68508243,0.94651251,0.66322241,0.01501661,0.06583389,0.00057511
2025-01-04 16:00:00+00:00,3079.49,165.3478575,0.9445792,0.65899542,0.01589374,0.0665272,0.00060957
2025-01-04 17:00:00+00:00,2960.165,154.20642612,0.95654413,0.68095196,0.01737912,0.07545024,0.00064791
2025-01-04 18:00:00+00:00,2767.46,139.80921531,0.96882837,0.71053661,0.01949491,0.07840443,0.00073185
2025-01-04 19:00:00+00:00,2660.66,140.74290396,0.96886235,0.71066004,0.0201806,0.07720556,0.00072187
2025-01-04 20:00:00+00:00,2560.67,129.60026629,0.96977325,0.7290441,0.02029025,0.07630112,0.00038026
2025-01-04 21:00:00+00:00,2461.11,127.59390002,0.97016363,0.73071808,0.01995696,0.08077154,0.00033855
2025-01-04 22:00:00+00:00,2397.94,125.28776542,0.97191314,0.73761626,0.01936349,0.07865012,0.00033566
2025-01-04 23:00:00+00:00,2463.6225,133.95186203,0.96459357,0.72755078,0.01944031,0.06832042,0.0003369
2025-01-05 00:00:00+00:00,2466.5425,143.56726422,0.94370048,0.70031832,0.0168092,0.06518357,0.00033416
2025-01-05 01:00:00+00:00,2484.47,139.25666326,0.94135412,0.70091182,0.01735131,0.06586548,0.00031563
2025-01-05 02:00:00+00:00,2404.615,137.16282949,0.94509877,0.70692357,0.01785833,0.06470786,0.00032267
2025-01-05 03:00:00+00:00,2365.1,138.97894965,0.94997992,0.70579625,0.01664209,0.06643322,0.00040515
2025-01-05 04:00:00+00:00,2359.1325,148.450482,0.94620314,0.68680624,0.01494943,0.06812945,0.00044622
2025-01-05 05:00:00+00:00,2391.66,132.35200206,0.96462365,0.72134902,0.01519868,0.0831382,0.00037607
2025-01-05 06:00:00+00:00,2552.39,128.27720554,0.96981039,0.73157335,0.01468544,0.08539574,0.00037612
