datetime_utc,consumption_mw,ci_lifecycle_gco2eq_per_kwh,included_share_lifecycle,carbon_free_share,share_hydro_pumped_storage,share_biomass,share_other_renewable
2025-01-01 00:00:00+00:00,10580.03375,49.68366876,0.95042315,0.82944855,2.96e-06,0.10435008,0.00044402
2025-01-01 01:00:00+00:00,10345.86,50.94967214,0.94865471,0.82369306,1e-08,0.10795309,0.00045548
2025-01-01 02:00:00+00:00,10307.10125,51.54850615,0.94521506,0.81924664,1.43e-06,0.10846537,0.00043221
2025-01-01 03:00:00+00:00,10302.52625,50.82183919,0.95207517,0.82880056,4.334e-05,0.1060005,0.00038921
2025-01-01 04:00:00+00:00,10438.8425,51.52810233,0.94896661,0.82343062,3.46e-06,0.10847057,0.00038821
2025-01-01 05:00:00+00:00,10498.79625,52.64929343,0.9441352,0.81601604,2.28e-06,0.11037513,0.00048047
2025-01-01 06:00:00+00:00,10550.95875,54.27069483,0.94154312,0.80805763,7.4e-06,0.11533111,0.00117212
2025-01-01 07:00:00+00:00,10572.99,55.82633326,0.93644867,0.79961317,1.71e-06,0.11792338,0.00264731
2025-01-01 08:00:00+00:00,10655.03125,58.34157595,0.9330038,0.79226014,5.12e-06,0.11714514,0.00317861
2025-01-01 09:00:00+00:00,10714.38875,60.81031067,0.93554195,0.78497954,6.72e-06,0.12672438,0.00297473
2025-01-01 10:00:00+00:00,10761.105,62.37760195,0.93593974,0.78016501,1.744e-05,0.1315938,0.00296129
2025-01-01 11:00:00+00:00,10807.14375,64.73533403,0.93500066,0.77678881,1e-06,0.12999621,0.00293701
2025-01-01 12:00:00+00:00,10850.99625,67.4779854,0.93596831,0.77269296,9.8e-06,0.13256321,0.00316145
2025-01-01 13:00:00+00:00,11028.7675,68.90372464,0.93630784,0.7717074,4.84e-06,0.1307453,0.00315231
2025-01-01 14:00:00+00:00,11224.20375,68.06872979,0.93752398,0.77585171,1.3e-07,0.12778294,0.00368837
2025-01-01 15:00:00+00:00,11245.925,70.91071576,0.936347,0.76923518,2.5e-07,0.12802783,0.00472024
2025-01-01 16:00:00+00:00,11228.815,71.58583353,0.93477801,0.76609771,6.8e-07,0.12866871,0.00484001
2025-01-01 17:00:00+00:00,11193.10625,71.54187143,0.93221777,0.76265888,1.29e-06,0.13079434,0.00493121
2025-01-01 18:00:00+00:00,11044.85625,70.30754641,0.93165261,0.76320664,9.7e-07,0.1333945,0.0049942
2025-01-01 19:00:00+00:00,10806.90375,72.39988453,0.93212543,0.75933927,6.3e-07,0.13412007,0.0051055
2025-01-01 20:00:00+00:00,11016.4875,71.96468564,0.9284875,0.75747483,1.37e-06,0.1330864,0.00502476
2025-01-01 21:00:00+00:00,10867.2025,73.05364264,0.92527608,0.75242113,2.6e-07,0.13313561,0.0055722
2025-01-01 22:00:00+00:00,10727.2275,67.21183748,0.92180316,0.7576046,6.1e-07,0.13314036,0.006519
2025-01-01 23:00:00+00:00,10644.13875,64.88439037,0.92645152,0.76591622,9.59e-06,0.13196329,0.00783435
2025-01-02 00:00:00+00:00,10600.48375,64.51455913,0.92331204,0.76420011,8.32e-06,0.13076818,0.0080537
2025-01-02 01:00:00+00:00,10592.9475,65.56247969,0.92245752,0.75946193,1.6e-07,0.1341557,0.00805747
2025-01-02 02:00:00+00:00,10605.64625,68.34562517,0.92480678,0.75349051,0.0,0.13902432,0.00798161
2025-01-02 03:00:00+00:00,10770.625,71.79138582,0.92465987,0.74699788,0.0,0.13879202,0.00775089
2025-01-02 04:00:00+00:00,11190.71125,72.98368774,0.92763167,0.74921162,0.0,0.13637055,0.00751186
2025-01-02 05:00:00+00:00,11417.3475,81.70220477,0.93005724,0.73636823,6.72e-06,0.13621798,0.00734945
2025-01-02 06:00:00+00:00,11614.83,90.69441184,0.92438989,0.71059991,9.1e-06,0.14334963,0.00751511
2025-01-02 07:00:00+00:00,11519.12,96.74366502,0.92379283,0.69891191,6.42e-06,0.14386165,0.00760464
2025-01-02 08:00:00+00:00,11587.8,96.31813661,0.92547763,0.70371948,1.041e-05,0.13926458,0.00740166
2025-01-02 09:00:00+00:00,11637.1875,96.00812352,0.92731268,0.70716102,8.26e-06,0.13737811,0.00741049
2025-01-02 10:00:00+00:00,11662.265,96.62233516,0.92356266,0.70281551,5.61e-06,0.13709536,0.00752904
2025-01-02 11:00:00+00:00,11724.465,97.60959209,0.9231415,0.70077824,5.73e-06,0.13657433,0.00749204
2025-01-02 12:00:00+00:00,11625.0525,96.34170351,0.92360244,0.70230644,4.669e-05,0.13898402,0.00737074
2025-01-02 13:00:00+00:00,11773.35625,93.22238485,0.92589431,0.71115384,3.944e-05,0.13703591,0.00727202
2025-01-02 14:00:00+00:00,11763.60125,95.26626737,0.92660461,0.70530081,2.708e-05,0.14198847,0.0073581
2025-01-02 15:00:00+00:00,11797.26,97.14523968,0.92569746,0.69729191,6.43e-06,0.14727865,0.00745386
2025-01-02 16:00:00+00:00,11782.24,89.91544999,0.92751002,0.71377781,7.4e-07,0.14479829,0.00722233
2025-01-02 17:00:00+00:00,11771.745,83.09742876,0.93132383,0.72981341,0.0,0.14420656,0.00722446
2025-01-02 18:00:00+00:00,11573.405,81.03928372,0.93085908,0.73374134,0.0,0.14272994,0.00730578
2025-01-02 19:00:00+00:00,11280.425,78.62783879,0.9305102,0.74037715,1.36e-06,0.13941474,0.00755649
2025-01-02 20:00:00+00:00,11429.155,75.16012231,0.93292497,0.75227986,1.355e-05,0.1335154,0.0071491
2025-01-02 21:00:00+00:00,11331.2325,70.57566018,0.93304868,0.75961166,1.474e-05,0.13268111,0.00713285
2025-01-02 22:00:00+00:00,11118.37,68.85386791,0.93312119,0.76084968,1.506e-05,0.13561502,0.00577999
2025-01-02 23:00:00+00:00,10960.45625,69.16417356,0.93029867,0.75764109,1.856e-05,0.13536698,0.00557305
2025-01-03 00:00:00+00:00,10834.8225,69.58486828,0.92892601,0.75428506,8.9e-07,0.13701482,0.00546137
2025-01-03 01:00:00+00:00,10853.32875,69.03776815,0.92696882,0.75330608,0.0,0.13682193,0.00544467
2025-01-03 02:00:00+00:00,10940.93,67.28137533,0.92596926,0.76101804,1.391e-05,0.12811612,0.00608538
2025-01-03 03:00:00+00:00,11057.00625,66.85287373,0.9231215,0.76455286,9.15e-06,0.11945282,0.00673197
2025-01-03 04:00:00+00:00,11430.17375,76.28336961,0.92394947,0.75061229,8.98e-06,0.11940135,0.00662012
2025-01-03 05:00:00+00:00,11657.56,81.58170845,0.92280405,0.73977809,6.74e-06,0.12025119,0.00682348
2025-01-03 06:00:00+00:00,11844.65125,80.39512467,0.92248603,0.74243673,9.654e-05,0.11934155,0.00683468
2025-01-03 07:00:00+00:00,11803.79375,83.11763163,0.92123988,0.73426381,9.843e-05,0.12302184,0.00722182
2025-01-03 08:00:00+00:00,11897.2175,83.39012268,0.92123592,0.73157976,0.0,0.12722273,0.00725163
2025-01-03 09:00:00+00:00,12039.5375,84.68821841,0.92322392,0.72809635,6.6e-07,0.13194874,0.00720755
