datetime_utc,consumption_mw,ci_lifecycle_gco2eq_per_kwh,included_share_lifecycle,ci_direct_gco2eq_per_kwh,included_share_direct,carbon_free_share,share_hydro_pumped_storage,share_biomass,share_other_renewable
2025-01-01 00:00:00+00:00,4983.0925,45.88241723,0.9397733,22.34641833,0.92415225,0.88201805,0.0005295,0.01397177,0.00037849
2025-01-01 01:00:00+00:00,4966.2525,40.53786599,0.94442372,18.49946755,0.9331642,0.89808288,3.79e-06,0.00998011,0.00027755
2025-01-01 02:00:00+00:00,4887.8125,41.84809203,0.9575667,18.97421948,0.94441337,0.90631022,0.00025493,0.01185803,0.00027342
2025-01-01 03:00:00+00:00,4860.965,34.37696373,0.98492565,12.60975902,0.9759684,0.94853833,0.00041886,0.00803491,0.00020234
2025-01-01 04:00:00+00:00,4895.975,38.31210003,0.98016201,15.16182936,0.9691643,0.93518355,0.00047457,0.01007072,0.00021568
2025-01-01 05:00:00+00:00,5011.0675,46.92291117,0.95998645,22.26981551,0.94292145,0.89596931,4.911e-05,0.01565689,0.00030708
2025-01-01 06:00:00+00:00,5101.4225,49.36154002,0.94235092,24.03058055,0.92404198,0.875251,0.00034513,0.01660661,0.00037726
2025-01-01 07:00:00+00:00,5139.705,46.551774,0.94332579,21.61066413,0.92616184,0.88285674,0.00019148,0.01552153,0.0003548
2025-01-01 08:00:00+00:00,5153.77,44.84950212,0.95845945,18.16379055,0.93565344,0.89986752,0.00027303,0.02100453,0.00039736
2025-01-01 09:00:00+00:00,5135.335,42.53764459,0.97776992,14.84963202,0.95458663,0.92500051,0.00030601,0.02142661,0.00040577
2025-01-01 10:00:00+00:00,5072.705,41.59009247,0.97976173,13.53912834,0.95788358,0.93089034,0.00022343,0.02026785,0.00036867
2025-01-01 11:00:00+00:00,5148.9075,40.56899335,0.98061326,12.59158906,0.95915924,0.93432264,0.00022499,0.01988709,0.00033976
2025-01-01 12:00:00+00:00,5184.815,39.7789327,0.98122679,12.25206119,0.96096503,0.93633706,0.00053574,0.01875123,0.00032549
2025-01-01 13:00:00+00:00,5234.6275,39.52936208,0.98074019,12.38362191,0.9603057,0.93556499,0.00035252,0.01889901,0.00036228
2025-01-01 14:00:00+00:00,5283.615,38.80767207,0.98094421,12.33433834,0.96082493,0.93607497,0.00045191,0.01858055,0.00036329
2025-01-01 15:00:00+00:00,5370.9425,38.8913329,0.98101677,12.39123259,0.95967109,0.93384342,0.00166128,0.0198314,0.00035445
2025-01-01 16:00:00+00:00,5409.3925,39.99554213,0.98178722,13.42070629,0.96067634,0.93369996,0.00157217,0.01957134,0.00034152
2025-01-01 17:00:00+00:00,5339.035,40.76609153,0.98153825,14.14998527,0.96043097,0.93211898,0.00200459,0.01960809,0.00034355
2025-01-01 18:00:00+00:00,5307.2375,42.35883013,0.98021174,15.3353875,0.95748424,0.9273437,0.00185601,0.02114933,0.00036282
2025-01-01 19:00:00+00:00,5264.2275,43.46248289,0.98026784,16.22238012,0.95702771,0.92577235,0.00174554,0.02156163,0.00038036
2025-01-01 20:00:00+00:00,5192.605,43.63686828,0.98045609,16.22913929,0.95785374,0.92641394,0.00217707,0.02093793,0.00037176
