datetime_utc,consumption_mw,ci_lifecycle_gco2eq_per_kwh,included_share_lifecycle,carbon_free_share,share_hydro_pumped_storage,share_biomass,share_other_renewable
2025-01-01 00:00:00+00:00,2258.8,31.29298786,0.98877964,0.95487274,0.01658673,0.00152005,0.0009204
2025-01-01 01:00:00+00:00,2262.59,29.2162219,0.99308763,0.96635332,0.01461089,0.0005113,0.00076805
2025-01-01 02:00:00+00:00,2239.5175,28.66285111,0.99519038,0.97013583,0.01453012,0.0002097,0.00069662
2025-01-01 03:00:00+00:00,2225.0975,27.94129379,0.99629457,0.97461826,0.01294483,0.0,0.00074769
2025-01-01 04:00:00+00:00,2239.9325,27.57458561,0.99659651,0.97673578,0.0119527,1.52e-06,0.00063619
2025-01-01 05:00:00+00:00,2271.4925,30.86360527,0.99194168,0.95994568,0.01552469,0.00141433,0.00083887
2025-01-01 06:00:00+00:00,2321.27,31.02689495,0.99014829,0.95917872,0.0142805,0.00174085,0.00033717
2025-01-01 07:00:00+00:00,2353.1575,29.33905811,0.99340968,0.96754093,0.01353676,0.00081864,0.00039882
2025-01-01 08:00:00+00:00,2401.415,26.68231554,0.99674511,0.97884464,0.01199147,0.0,0.00035647
2025-01-01 09:00:00+00:00,2429.1625,27.34432687,0.9970903,0.97876796,0.01108525,0.0,0.00016011
2025-01-01 10:00:00+00:00,2451.81,27.40619929,0.99694404,0.98689972,0.00264215,0.0,0.00024283
2025-01-01 11:00:00+00:00,2424.7825,27.34233783,0.99650311,0.98626017,0.00277852,0.0,0.00070328
2025-01-01 12:00:00+00:00,2486.835,27.50985762,0.99646471,0.98561554,0.00296449,1.006e-05,0.0008515
2025-01-01 13:00:00+00:00,2501.3525,27.49603059,0.99658044,0.98614782,0.00264987,1.132e-05,0.00062814
2025-01-01 14:00:00+00:00,2543.8875,27.12055498,0.99675577,0.98371537,0.00605667,0.0,0.00058217
2025-01-01 15:00:00+00:00,2607.0525,26.63839988,0.99711188,0.98101967,0.01019062,0.0,0.00042337
2025-01-01 16:00:00+00:00,2607.8825,25.94066046,0.99763406,0.98377549,0.00951996,0.0,0.00028751
2025-01-01 17:00:00+00:00,2581.335,25.47630993,0.99744639,0.98406472,0.01000153,0.0,0.00032365
2025-01-01 18:00:00+00:00,2572.815,26.45835095,0.99726551,0.98137614,0.01030596,0.0,0.00039099
2025-01-01 19:00:00+00:00,2555.87,26.7997097,0.99710996,0.9802289,0.01051704,0.0,0.00044339
2025-01-01 20:00:00+00:00,2515.93,26.11185185,0.9969805,0.98118836,0.01083489,0.0,0.00045468
2025-01-01 21:00:00+00:00,2487.6725,26.65467263,0.99714852,0.98073855,0.01023469,0.0,0.00044856
2025-01-01 22:00:00+00:00,2441.795,26.94984512,0.9968771,0.9788296,0.01108119,0.0,0.00053012
2025-01-01 23:00:00+00:00,2402.2475,27.06990304,0.99649097,0.97682394,0.01225339,0.0,0.00083248
2025-01-02 00:00:00+00:00,2374.76,26.70455701,0.99617219,0.97604658,0.01315213,0.0,0.0009525
2025-01-02 01:00:00+00:00,2361.0275,26.79402412,0.99615513,0.97544966,0.0131918,0.0,0.00103519
2025-01-02 02:00:00+00:00,2354.845,26.31448314,0.99642667,0.9778375,0.01224518,0.0,0.00083017
2025-01-02 03:00:00+00:00,2358.3425,25.7058892,0.99709593,0.98205026,0.01030548,0.0,0.00062208
2025-01-02 04:00:00+00:00,2409.6775,25.42058272,0.99736952,0.98380124,0.00954038,0.0,0.00062412
2025-01-02 05:00:00+00:00,2549.05,25.22171974,0.99797225,0.95750724,0.03725884,0.0,0.00034718
2025-01-02 06:00:00+00:00,2696.73,25.20829448,0.99836726,0.95309971,0.04246685,0.0,0.0001186
2025-01-02 07:00:00+00:00,2746.6025,25.25770978,0.99836578,0.95350242,0.04192113,0.0,0.00013675
2025-01-02 08:00:00+00:00,2792.3525,24.90310967,0.99859961,0.95893145,0.03769241,1.7e-07,2.214e-05
2025-01-02 09:00:00+00:00,2799.8925,25.36185496,0.99859258,0.95550076,0.0401735,0.0,0.0
2025-01-02 10:00:00+00:00,2786.9725,25.29358438,0.99862217,0.95543856,0.0404115,0.0,0.0
2025-01-02 11:00:00+00:00,2781.225,25.54950442,0.99865459,0.94276696,0.05256699,0.0,0.0
