datetime_utc,consumption_mw,ci_lifecycle_gco2eq_per_kwh,included_share_lifecycle,ci_direct_gco2eq_per_kwh,included_share_direct,carbon_free_share,share_hydro_pumped_storage,share_biomass,share_other_renewable
2025-01-01 00:00:00+00:00,1305.2575,18.40466788,0.99419022,0.0,0.99419022,0.99419022,0.0,0.0,0.0
2025-01-01 01:00:00+00:00,1116.5875,17.83081783,0.99347525,0.0,0.99347525,0.99347525,0.0,0.0,0.0
2025-01-01 02:00:00+00:00,1054.55,17.47964265,0.99278841,0.0,0.99278841,0.99278841,0.0,0.0,0.0
2025-01-01 03:00:00+00:00,1296.5675,17.31275873,0.99307779,0.0,0.99307779,0.99307779,0.0,0.0,0.0
2025-01-01 04:00:00+00:00,1345.9225,17.56907917,0.99354104,0.0,0.99354104,0.99354104,0.0,0.0,0.0
2025-01-01 05:00:00+00:00,1219.02,17.87516019,0.99326613,0.0,0.99326613,0.99326613,0.0,0.0,0.0
2025-01-01 06:00:00+00:00,1253.495,18.04114392,0.99369912,0.0,0.99369912,0.99369912,0.0,0.0,0.0
2025-01-01 07:00:00+00:00,1300.495,18.94827901,0.9947808,0.0,0.9947808,0.9947808,0.0,0.0,0.0
2025-01-01 08:00:00+00:00,1257.05,19.02386523,0.99489352,0.0,0.99489352,0.99489352,0.0,0.0,0.0
2025-01-01 09:00:00+00:00,1369.4575,19.75471454,0.99528033,0.0,0.99528033,0.99528033,0.0,0.0,0.0
2025-01-01 10:00:00+00:00,1406.0875,20.2827236,0.9949182,0.0,0.9949182,0.9949182,0.0,0.0,0.0
2025-01-01 11:00:00+00:00,1486.54,20.88270604,0.99415275,0.0,0.99415275,0.99415275,0.0,0.0,0.0
2025-01-01 12:00:00+00:00,1770.6375,21.49249051,0.99384755,0.04502819,0.99384642,0.99372561,0.0,1.13e-06,1.731e-05
2025-01-01 13:00:00+00:00,1629.255,21.59596166,0.99412182,0.0,0.99412182,0.99412182,0.0,0.0,0.0
2025-01-01 14:00:00+00:00,1678.0475,21.52145358,0.99510476,0.0,0.99510476,0.99510476,0.0,0.0,0.0
2025-01-01 15:00:00+00:00,1830.9325,21.30456518,0.99540512,0.0,0.99540512,0.99540512,0.0,0.0,0.0
2025-01-01 16:00:00+00:00,1990.0975,21.22946574,0.99545082,0.0,0.99545082,0.99545082,0.0,0.0,0.0
2025-01-01 17:00:00+00:00,2003.035,21.30735537,0.99536655,0.0,0.99536655,0.99536655,0.0,0.0,0.0
2025-01-01 18:00:00+00:00,1766.1625,21.23341274,0.99499834,0.0,0.99499834,0.99499834,0.0,0.0,0.0
2025-01-01 19:00:00+00:00,1556.53,20.99488575,0.99484055,0.0,0.99484055,0.99484055,0.0,0.0,0.0
2025-01-01 20:00:00+00:00,1619.7825,20.84671884,0.99440547,0.0,0.99440547,0.99440547,0.0,0.0,0.0
2025-01-01 21:00:00+00:00,1926.4175,20.55039498,0.99525251,0.0,0.99525251,0.99525251,0.0,0.0,0.0
2025-01-01 22:00:00+00:00,2035.9375,20.43477137,0.99490333,1.94e-06,0.99490333,0.99490333,0.0,0.0,0.0
2025-01-01 23:00:00+00:00,1687.66,20.59958558,0.9944126,0.00082548,0.9944126,0.99441038,0.0,0.0,3.1e-07
2025-01-02 00:00:00+00:00,1537.255,21.37220533,0.99404768,0.0019448,0.99404768,0.99404245,0.0,0.0,7.4e-07
2025-01-02 01:00:00+00:00,1492.735,21.84713495,0.99392296,0.00344234,0.99392296,0.99391371,0.0,0.0,1.19e-06
2025-01-02 02:00:00+00:00,1795.4275,22.59241479,0.99458172,0.00022081,0.99458172,0.99458113,0.0,0.0,8e-08
2025-01-02 03:00:00+00:00,1959.0525,22.77134081,0.99462125,0.00280144,0.99462125,0.99461371,0.0,0.0,1.05e-06
2025-01-02 04:00:00+00:00,1630.785,23.1890303,0.99479862,0.0,0.99479862,0.99479862,0.0,0.0,0.0
2025-01-02 05:00:00+00:00,1642.28,23.81469032,0.99469484,0.31095238,0.99469484,0.99385888,0.0,0.0,0.00011488
2025-01-02 06:00:00+00:00,1753.445,23.51016057,0.99477499,0.0,0.99477499,0.99477499,0.0,0.0,0.0
2025-01-02 07:00:00+00:00,1766.9275,23.72689311,0.99474917,0.0,0.99474917,0.99474917,0.0,0.0,0.0
2025-01-02 08:00:00+00:00,2072.5075,23.62911007,0.99475665,0.01090681,0.99475617,0.99471564,1.125e-05,4.9e-07,1.165e-05
2025-01-02 09:00:00+00:00,1781.565,23.49526643,0.99468256,0.01657962,0.99468138,0.9946213,1.565e-05,1.17e-06,1.645e-05
2025-01-02 10:00:00+00:00,1799.7275,23.77441673,0.99459489,0.00392937,0.99459459,0.99458085,3.21e-06,3e-07,3.45e-06
2025-01-02 11:00:00+00:00,1779.9075,23.56718164,0.99428354,0.00733479,0.9942832,0.99425683,6.7e-06,3.4e-07,8.51e-06
2025-01-02 12:00:00+00:00,1934.125,23.26452442,0.99439136,0.01204801,0.99439136,0.99434322,1.576e-05,0.0,1.631e-05
2025-01-02 13:00:00+00:00,1867.7925,22.98674855,0.99462454,0.01248106,0.99462454,0.99457234,1.864e-05,0.0,1.891e-05
2025-01-02 14:00:00+00:00,1884.7675,22.93185626,0.99472126,0.00844372,0.99472097,0.99468276,1.554e-05,2.9e-07,1.282e-05
2025-01-02 15:00:00+00:00,1735.1975,23.2235458,0.99511316,0.0,0.99511316,0.99511316,0.0,0.0,0.0
2025-01-02 16:00:00+00:00,1769.1225,22.92260927,0.99523878,0.0,0.99523878,0.99523878,0.0,0.0,0.0
2025-01-02 17:00:00+00:00,1639.1825,22.91891028,0.99495127,0.0,0.99495127,0.99495127,0.0,0.0,0.0
2025-01-02 18:00:00+00:00,1605.61,22.93385659,0.99497942,0.0,0.99497942,0.99497942,0.0,0.0,0.0
2025-01-02 19:00:00+00:00,1654.25,22.9770227,0.99498635,0.0,0.99498635,0.99498635,0.0,0.0,0.0
2025-01-02 20:00:00+00:00,1585.9525,22.9633916,0.99496122,0.0,0.99496122,0.99496122,0.0,0.0,0.0
2025-01-02 21:00:00+00:00,1560.9625,22.75732612,0.99559835,0.0,0.99559835,0.99559835,0.0,0.0,0.0
2025-01-02 22:00:00+00:00,1551.9275,22.8214956,0.99554282,0.31304566,0.99554282,0.99470053,0.0,0.0,0.00011935
2025-01-02 23:00:00+00:00,1569.7425,22.72988156,0.99391551,0.55992598,0.99391551,0.99241141,0.0,0.0,0.00022127
2025-01-03 00:00:00+00:00,1625.63,22.44797847,0.99395941,0.46204469,0.99395941,0.99271819,0.0,0.0,0.00019273
2025-01-03 01:00:00+00:00,1679.0425,22.12688708,0.99409801,0.23605424,0.99409801,0.99346379,0.0,0.0,9.619e-05
2025-01-03 02:00:00+00:00,1695.13,22.37039479,0.99430809,0.22010952,0.99430809,0.99371659,0.0,0.0,8.783e-05
2025-01-03 03:00:00+00:00,1525.0375,22.93486931,0.99461237,0.54211411,0.99461237,0.99315509,0.0,0.0,0.00021175
2025-01-03 04:00:00+00:00,1569.1675,23.35066063,0.99497426,0.77097351,0.99497426,0.99290102,0.0,0.0,0.0002996
