datetime_utc,consumption_mw,ci_lifecycle_gco2eq_per_kwh,included_share_lifecycle,carbon_free_share,share_hydro_pumped_storage,share_biomass,share_other_renewable
2025-01-01 00:00:00+00:00,2085.46,52.97265576,0.94213138,0.86521335,0.00050969,0.02513086,0.00048256
2025-01-01 01:00:00+00:00,2045.405,75.17899356,0.93044717,0.83412538,4.98e-06,0.013894,0.00075015
2025-01-01 02:00:00+00:00,2006.79,90.55141058,0.92571071,0.80913478,0.00031753,0.01432778,0.00086995
2025-01-01 03:00:00+00:00,1981.175,101.26042127,0.92031827,0.77954588,0.00657936,0.01445961,0.00087346
2025-01-01 04:00:00+00:00,1968.905,93.69889254,0.92362318,0.80289022,0.00059508,0.01409421,0.00087978
2025-01-01 05:00:00+00:00,1994.87,93.6469715,0.92693042,0.80383232,0.00018132,0.01784195,0.00083427
2025-01-01 06:00:00+00:00,1954.97,90.80360302,0.92902684,0.80351338,0.00043279,0.02514314,0.00080379
2025-01-01 07:00:00+00:00,2059.705,86.69449487,0.93013479,0.81503548,0.00016668,0.02028505,0.00083072
2025-01-01 08:00:00+00:00,2122.585,87.83028825,0.93285036,0.81720512,0.00011748,0.02023574,0.00079961
2025-01-01 09:00:00+00:00,2224.86,85.41755653,0.9373955,0.8230645,6.648e-05,0.02391471,0.00073262
2025-01-01 10:00:00+00:00,2297.065,85.73752713,0.93674731,0.82189379,0.00014673,0.02458341,0.00074149
2025-01-01 11:00:00+00:00,2339.895,90.38987112,0.93123715,0.81611061,0.00014775,0.01808442,0.00079245
2025-01-01 12:00:00+00:00,2424.105,89.39225063,0.93337518,0.81228427,0.00130798,0.02461953,0.00073784
2025-01-01 13:00:00+00:00,2762.285,75.66050595,0.93831096,0.83148531,0.00080131,0.0285254,0.00066035
2025-01-01 14:00:00+00:00,2826.005,50.44878507,0.93958582,0.87382081,0.00068302,0.01870439,0.00044087
2025-01-01 15:00:00+00:00,2806.65,42.13905206,0.94543126,0.88170425,0.00137559,0.02829431,0.00031035
2025-01-01 16:00:00+00:00,2768.19,33.86516122,0.94707142,0.9040957,0.0010336,0.01679544,0.00025429
2025-01-01 17:00:00+00:00,2522.36,40.01136055,0.95026677,0.89263005,0.0016221,0.02317735,0.00029793
2025-01-01 18:00:00+00:00,2416.45,35.13284821,0.94936023,0.8999716,0.00138543,0.02150135,0.00029239
2025-01-01 19:00:00+00:00,2247.545,34.42206719,0.9479968,0.90428045,0.00130429,0.01569732,0.00032066
2025-01-01 20:00:00+00:00,2150.695,56.98566136,0.93713417,0.8656837,0.00167049,0.01279175,0.00056179
2025-01-01 21:00:00+00:00,2128.755,60.78833177,0.93729196,0.87227023,0.00021558,0.00288034,0.00046265
2025-01-01 22:00:00+00:00,2225.42,82.93613514,0.92515238,0.82946292,0.00015398,0.00390228,0.00068553
2025-01-01 23:00:00+00:00,2491.35,86.31073238,0.91919973,0.81332624,0.00172962,0.01110805,0.00083291
2025-01-02 00:00:00+00:00,2516.56,96.83963761,0.91339132,0.79138163,0.00154721,0.01466179,0.00096173
2025-01-02 01:00:00+00:00,2514.08,114.89286265,0.90174729,0.75415114,0.00158418,0.01706237,0.00111172
2025-01-02 02:00:00+00:00,2511.3,101.39960865,0.91400403,0.79149109,0.00029353,0.00612708,0.00081499
2025-01-02 03:00:00+00:00,2556.575,79.35822468,0.91763053,0.82755285,4.86e-05,0.00392287,0.00061584
2025-01-02 04:00:00+00:00,2654.06,60.66747601,0.9199611,0.85717827,4.404e-05,0.00257085,0.00046168
2025-01-02 05:00:00+00:00,2865.305,52.7965891,0.91291649,0.86291251,8.234e-05,0.00181274,0.00039142
2025-01-02 06:00:00+00:00,3152.585,48.39542439,0.89978571,0.85621123,0.00073105,0.00150319,0.00035208
2025-01-02 07:00:00+00:00,3241.46,54.71148517,0.88681406,0.8360856,0.00088031,0.00159208,0.00037934
2025-01-02 08:00:00+00:00,3209.2,52.91374151,0.88647449,0.83867473,0.00035286,0.00131908,0.00036508
2025-01-02 09:00:00+00:00,3225.42,52.37741484,0.88320476,0.83730648,9.002e-05,0.00122878,0.00036183
2025-01-02 10:00:00+00:00,3221.275,51.06595851,0.88606911,0.84175883,6.814e-05,0.00129285,0.00034139
2025-01-02 11:00:00+00:00,3156.475,42.43826187,0.89219263,0.85847196,5.923e-05,0.00103249,0.00027892
2025-01-02 12:00:00+00:00,3066.04,24.13733774,0.90040787,0.8894185,0.00043346,0.00028302,0.00012175
2025-01-02 13:00:00+00:00,3088.395,15.61882286,0.90821544,0.90763623,0.0004362,0.0,5.604e-05
2025-01-02 14:00:00+00:00,3327.675,15.51553292,0.91255268,0.91177735,0.00059251,1.42e-06,6.558e-05
2025-01-02 15:00:00+00:00,3414.525,15.23519793,0.91045799,0.91011408,0.00024206,0.0,4.111e-05
2025-01-02 16:00:00+00:00,3243.86,15.10761365,0.90696785,0.90684429,3.786e-05,2.1e-07,2.726e-05
2025-01-02 17:00:00+00:00,3121.92,15.03694207,0.90797368,0.90777159,2.411e-05,7.798e-05,2.235e-05
2025-01-02 18:00:00+00:00,3118.605,15.5493682,0.91905496,0.91777562,0.00046487,0.00051586,6.254e-05
2025-01-02 19:00:00+00:00,3023.8,15.29306011,0.91899668,0.91851768,0.00037362,0.0,2.481e-05
2025-01-02 20:00:00+00:00,2912.035,15.46991075,0.92380631,0.92339584,0.00030327,0.0,3.539e-05
2025-01-02 21:00:00+00:00,2865.485,15.54832754,0.93005336,0.92969889,0.00023928,0.0,3.257e-05
2025-01-02 22:00:00+00:00,2878.76,15.73142054,0.9330681,0.93259771,0.00023052,0.0,6.102e-05
2025-01-02 23:00:00+00:00,2819.755,15.68128652,0.94324494,0.94275913,0.00019647,0.0,5.383e-05
2025-01-03 00:00:00+00:00,2913.375,15.6682602,0.94306377,0.94284494,7.89e-06,0.0,3.32e-05
2025-01-03 01:00:00+00:00,2841.075,15.62724494,0.94225067,0.94209663,0.0,0.0,1.943e-05
2025-01-03 02:00:00+00:00,2781.35,16.25039981,0.94224802,0.94046914,0.00011078,0.00083469,2.261e-05
2025-01-03 03:00:00+00:00,2828.955,16.74422724,0.94332528,0.94086507,7.19e-05,0.00122399,3.492e-05
2025-01-03 04:00:00+00:00,2807.545,16.82281284,0.94286063,0.94032354,6.902e-05,0.00124843,5.661e-05
